NewCode,NewCodeDesc,SameSimCode,CPTDesc,Comments
0094U,"Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis",81321,"PTEN (phosphatase and tensin homolog) (eg, Cowden syndrome, PTEN hamartoma tumor syndrome) gene analysis; full sequence analysis",Present in Autoproposal
0094U,"Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis",0027U,"JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, targeted sequence analysis exons 12-15",Present in Autoproposal
0094U,"Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis",0012U,"Germline disorders, gene rearrangement detection by whole genome next-generation sequencing, DNA, whole blood, report of specific gene rearrangement(s)",Present only by MD
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",91030,"Esophagus, acid perfusion (Bernstein) test for esophagitis",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",83873,"Myelin basic protein, cerebrospinal fluid",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",81538,"Oncology (lung), mass spectrometric 8-protein signature, including amyloid A, utilizing serum, prognostic and predictive algorithm reported as good versus poor overall survival",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",80049,"METABOLIC PANEL, BASIC",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",G0096,BASIC METABOLIC PANEL,Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",86140,C-reactive protein,Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",88371,"Protein analysis of tissue by Western Blot, with interpretation and report",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",S3630,"EOSINOPHIL COUNT, BLOOD, DIRECT",Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",78282,Gastrointestinal protein loss,Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",82985,Glycated protein,Present in Autoproposal
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",89190,Nasal smear for eosinophils,Present only by MD
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",91110,"Gastrointestinal tract imaging, intraluminal (eg, capsule endoscopy), esophagus through ileum, with interpretation and report",Present only by MD
0095U,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis",88104,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation",Present only by MD
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",87624,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), high-risk types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68)",Present Both in MD and Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",0500T,"Infectious agent detection by nucleic acid (DNA or RNA), Human Papillomavirus (HPV) for five or more separately reported high-risk HPV types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) (ie, genotyping)",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",G0476,"INFECTIOUS AGENT DETECTION BY NUCLEIC ACID (DNA OR RNA); HUMAN PAPILLOMAVIRUS (HPV), HIGH-RISK TYPES (E.G., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) FOR CERVICAL CANCER SCREENING, MUST BE PERFORMED IN ADDITION TO PAP TEST",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",90651,"Human Papillomavirus vaccine types 6, 11, 16, 18, 31, 33, 45, 52, 58, nonavalent (9vHPV), 2 or 3 dose schedule, for intramuscular use",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",87625,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), types 16 and 18 only, includes type 45, if performed",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",90650,"Human Papillomavirus vaccine, types 16, 18, bivalent (2vHPV), 3 dose schedule, for intramuscular use",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",90649,"Human Papillomavirus vaccine, types 6, 11, 16, 18, quadrivalent (4vHPV), 3 dose schedule, for intramuscular use",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",87623,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), low-risk types (eg, 6, 11, 42, 43, 44)",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",A6265,"TAPE, ALL TYPES, PER 18 SQUARE INCHES",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",87622,"Infectious agent detection by nucleic acid (DNA or RNA); papillomavirus, human, quantification",Present in Autoproposal
0096U,"Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine",0005U,"Oncology (prostate) gene expression profile by real-time RT-PCR of 3 genes (ERG, PCA3, and SPDEF), urine, algorithm reported as risk score",Present only by MD
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87505,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal pathogen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 3-5 targets",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87506,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal pathogen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 6-11 targets",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87507,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal pathogen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",Present Both in MD and Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87335,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Escherichia coli 0157",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87483,"Infectious agent detection by nucleic acid (DNA or RNA); central nervous system pathogen (eg, Neisseria meningitidis, Streptococcus pneumoniae, Listeria, Haemophilus influenzae, E. coli, Streptococcus agalactiae, enterovirus, human parechovirus, herpes simplex virus type 1 and 2, human herpesvirus 6, cytomegalovirus, varicella zoster virus, Cryptococcus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87230,"Toxin or antitoxin assay, tissue culture (eg, Clostridium difficile toxin)",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87493,"Infectious agent detection by nucleic acid (DNA or RNA); Clostridium difficile, toxin gene(s), amplified probe technique",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",81299,"MSH6 (mutS homolog 6 [E. coli]) (eg, hereditary non-polyposis colorectal cancer, Lynch syndrome) gene analysis; known familial variants",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",81298,"MSH6 (mutS homolog 6 [E. coli]) (eg, hereditary non-polyposis colorectal cancer, Lynch syndrome) gene analysis; full sequence analysis",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",81300,"MSH6 (mutS homolog 6 [E. coli]) (eg, hereditary non-polyposis colorectal cancer, Lynch syndrome) gene analysis; duplication/deletion variants",Present in Autoproposal
0097U,"Gastrointestinal pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 22 targets (Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V])",87045,"Culture, bacterial; stool, aerobic, with isolation and preliminary examination (eg, KIA, LIA), Salmonella and Shigella species",Present only by MD
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87631,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 3-5 targets",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87632,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 6-11 targets",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87633,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",Present Both in MD and Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87501,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, includes reverse transcription, when performed, and amplified probe technique, each type or subtype",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",86710,Antibody; influenza virus,Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87503,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multiple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, each additional influenza virus type or sub-type beyond 2 (List separately in addition to code for primary procedure)",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",G0008,ADMINISTRATION OF INFLUENZA VIRUS VACCINE,Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87483,"Infectious agent detection by nucleic acid (DNA or RNA); central nervous system pathogen (eg, Neisseria meningitidis, Streptococcus pneumoniae, Listeria, Haemophilus influenzae, E. coli, Streptococcus agalactiae, enterovirus, human parechovirus, herpes simplex virus type 1 and 2, human herpesvirus 6, cytomegalovirus, varicella zoster virus, Cryptococcus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87502,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multiple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, first 2 types or sub-types",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",Q2039,"INFLUENZA VIRUS VACCINE, NOT OTHERWISE SPECIFIED",Present in Autoproposal
0098U,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 14 targets (adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae)",87581,"Infectious agent detection by nucleic acid (DNA or RNA); Mycoplasma pneumoniae, amplified probe technique",Present only by MD
