CPTCode,CPTLongDesc
22251,DELETED CODE
22305,CLOSED TX SPINE PROCESS FX
22310,CLOSED TX VERT FX W/O MANJ
22315,CLOSED TX VERT FX W/MANJ
22318,TREAT ODONTOID FX W/O GRAFT
22319,TREAT ODONTOID FX W/GRAFT
22325,TREAT SPINE FRACTURE
22326,TREAT NECK SPINE FRACTURE
22327,TREAT THORAX SPINE FRACTURE
22328,TREAT EACH ADD SPINE FX
22330,DELETED CODE
22331,DELETED CODE
22332,DELETED CODE
22333,DELETED CODE
22334,DELETED CODE
22335,DELETED CODE
22336,DELETED CODE
22337,DELETED CODE
22338,DELETED CODE
22339,DELETED CODE
22340,DELETED CODE
22341,DELETED CODE
22342,DELETED CODE
22343,DELETED CODE
22344,DELETED CODE
22345,DELETED CODE
22346,DELETED CODE
22347,DELETED CODE
22348,DELETED CODE
22349,DELETED CODE
22350,DELETED CODE
22351,DELETED CODE
22352,DELETED CODE
22353,DELETED CODE
22354,DELETED CODE
22355,DELETED CODE
22356,DELETED CODE
22357,DELETED CODE
22358,DELETED CODE
22359,DELETED CODE
22360,DELETED CODE
22361,DELETED CODE
22362,DELETED CODE
22363,DELETED CODE
22364,DELETED CODE
22365,DELETED CODE
22366,DELETED CODE
22367,DELETED CODE
22368,DELETED CODE
22369,DELETED CODE
22370,DELETED CODE
22371,DELETED CODE
22372,DELETED CODE
22373,DELETED CODE
22374,DELETED CODE
22375,DELETED CODE
22376,DELETED CODE
22377,DELETED CODE
22378,DELETED CODE
22379,DELETED CODE
22500,DELETED CODE
22505,MANIPULATION OF SPINE
22520,PERCUT VERTEBROPLASTY THOR
22521,PERCUT VERTEBROPLASTY LUMB
22522,PERCUT VERTEBROPLASTY ADDL
22523,PERCUT KYPHOPLASTY THOR
22524,PERCUT KYPHOPLASTY LUMBAR
22525,PERCUT KYPHOPLASTY ADD-ON
22526,IDET SINGLE LEVEL
22527,IDET 1 OR MORE LEVELS
22532,LAT THORAX SPINE FUSION
22533,LAT LUMBAR SPINE FUSION
20670,REMOVAL OF SUPPORT IMPLANT
20680,REMOVAL OF SUPPORT IMPLANT
20690,APPLY BONE FIXATION DEVICE
20691,DELETED CODE
20692,APPLY BONE FIXATION DEVICE
20693,ADJUST BONE FIXATION DEVICE
20694,REMOVE BONE FIXATION DEVICE
20802,REPLANTATION ARM COMPLETE
20804,DELETED CODE
20805,REPLANT FOREARM COMPLETE
20806,DELETED CODE
20808,REPLANTATION HAND COMPLETE
20812,DELETED CODE
20816,REPLANTATION DIGIT COMPLETE
20820,DELETED CODE
20822,REPLANTATION DIGIT COMPLETE
20823,DELETED CODE
20824,REPLANTATION THUMB COMPLETE
20826,DELETED CODE
20827,REPLANTATION THUMB COMPLETE
20828,DELETED CODE
20832,DELETED CODE
20834,DELETED CODE
20838,REPLANTATION FOOT COMPLETE
20840,DELETED CODE
20900,REMOVAL OF BONE FOR GRAFT
20902,REMOVAL OF BONE FOR GRAFT
20910,REMOVE CARTILAGE FOR GRAFT
20912,REMOVE CARTILAGE FOR GRAFT
20920,REMOVAL OF FASCIA FOR GRAFT
20922,REMOVAL OF FASCIA FOR GRAFT
20924,REMOVAL OF TENDON FOR GRAFT
20926,REMOVAL OF TISSUE FOR GRAFT
20930,SP BONE ALGRFT MORSEL ADD-ON
20931,SP BONE ALGRFT STRUCT ADD-ON
20936,SP BONE AGRFT LOCAL ADD-ON
20937,SP BONE AGRFT MORSEL ADD-ON
20938,SP BONE AGRFT STRUCT ADD-ON
20950,FLUID PRESSURE MUSCLE
20955,FIBULA BONE GRAFT MICROVASC
20956,ILIAC BONE GRAFT MICROVASC
20957,MT BONE GRAFT MICROVASC
20960,DELETED CODE
20962,OTHER BONE GRAFT MICROVASC
20969,BONE/SKIN GRAFT MICROVASC
20970,BONE/SKIN GRAFT ILIAC CREST
20971,DELETED CODE
20972,BONE/SKIN GRAFT METATARSAL
20973,BONE/SKIN GRAFT GREAT TOE
20974,ELECTRICAL BONE STIMULATION
20975,ELECTRICAL BONE STIMULATION
20976,DELETED CODE
20979,US BONE STIMULATION
20982,ABLATE BONE TUMOR(S) PERQ
20999,MUSCULOSKELETAL SURGERY
21010,INCISION OF JAW JOINT
21011,EXC FACE LES SC <2 CM
21015,RESECT FACE/SCALP TUM < 2 CM
21020,DELETED CODE
21025,EXCISION OF BONE LOWER JAW
21026,EXCISION OF FACIAL BONE(S)
21029,CONTOUR OF FACE BONE LESION
21030,EXCISE MAX/ZYGOMA B9 TUMOR
21031,REMOVE EXOSTOSIS MANDIBLE
21032,REMOVE EXOSTOSIS MAXILLA
21034,EXCISE MAX/ZYGOMA MAL TUMOR
21040,EXCISE MANDIBLE LESION
21041,REMOVAL OF JAW BONE LESION
21044,REMOVAL OF JAW BONE LESION
21045,EXTENSIVE JAW SURGERY
21046,REMOVE MANDIBLE CYST COMPLEX
21047,EXCISE LWR JAW CYST W/REPAIR
21048,REMOVE MAXILLA CYST COMPLEX
21049,EXCIS UPPR JAW CYST W/REPAIR
21050,REMOVAL OF JAW JOINT
21051,DELETED CODE
21060,REMOVE JAW JOINT CARTILAGE
21061,DELETED CODE
21070,REMOVE CORONOID PROCESS
21071,DELETED CODE
21076,PREPARE FACE/ORAL PROSTHESIS
21077,PREPARE FACE/ORAL PROSTHESIS
21079,PREPARE FACE/ORAL PROSTHESIS
21080,PREPARE FACE/ORAL PROSTHESIS
21081,PREPARE FACE/ORAL PROSTHESIS
21082,PREPARE FACE/ORAL PROSTHESIS
21083,PREPARE FACE/ORAL PROSTHESIS
21084,PREPARE FACE/ORAL PROSTHESIS
21085,PREPARE FACE/ORAL PROSTHESIS
21086,PREPARE FACE/ORAL PROSTHESIS
21087,PREPARE FACE/ORAL PROSTHESIS
21088,PREPARE FACE/ORAL PROSTHESIS
21089,PREPARE FACE/ORAL PROSTHESIS
21100,MAXILLOFACIAL FIXATION
21110,INTERDENTAL FIXATION
21116,INJECTION JAW JOINT X-RAY
21120,RECONSTRUCTION OF CHIN
21121,RECONSTRUCTION OF CHIN
21122,RECONSTRUCTION OF CHIN
21123,RECONSTRUCTION OF CHIN
21125,AUGMENTATION LOWER JAW BONE
21127,AUGMENTATION LOWER JAW BONE
21137,REDUCTION OF FOREHEAD
21138,REDUCTION OF FOREHEAD
21139,REDUCTION OF FOREHEAD
21141,LEFORT I-1 PIECE W/O GRAFT
21142,LEFORT I-2 PIECE W/O GRAFT
21143,LEFORT I-3/> PIECE W/O GRAFT
21144,DELETED CODE
21145,LEFORT I-1 PIECE W/ GRAFT
21146,LEFORT I-2 PIECE W/ GRAFT
21147,LEFORT I-3/> PIECE W/ GRAFT
21150,LEFORT II ANTERIOR INTRUSION
21151,LEFORT II W/BONE GRAFTS
21154,LEFORT III W/O LEFORT I
21155,LEFORT III W/ LEFORT I
21159,LEFORT III W/FHDW/O LEFORT I
21160,LEFORT III W/FHD W/ LEFORT I
21172,RECONSTRUCT ORBIT/FOREHEAD
21175,RECONSTRUCT ORBIT/FOREHEAD
21179,RECONSTRUCT ENTIRE FOREHEAD
21180,RECONSTRUCT ENTIRE FOREHEAD
21181,CONTOUR CRANIAL BONE LESION
21182,RECONSTRUCT CRANIAL BONE
21183,RECONSTRUCT CRANIAL BONE
21184,RECONSTRUCT CRANIAL BONE
21188,RECONSTRUCTION OF MIDFACE
21193,RECONST LWR JAW W/O GRAFT
21194,RECONST LWR JAW W/GRAFT
21195,RECONST LWR JAW W/O FIXATION
21196,RECONST LWR JAW W/FIXATION
21198,RECONSTR LWR JAW SEGMENT
21199,RECONSTR LWR JAW W/ADVANCE
21200,DELETED CODE
21202,DELETED CODE
21203,DELETED CODE
21204,DELETED CODE
21206,RECONSTRUCT UPPER JAW BONE
21207,DELETED CODE
21208,AUGMENTATION OF FACIAL BONES
21209,REDUCTION OF FACIAL BONES
21210,FACE BONE GRAFT
21215,LOWER JAW BONE GRAFT
21230,RIB CARTILAGE GRAFT
21235,EAR CARTILAGE GRAFT
21239,DELETED CODE
21240,RECONSTRUCTION OF JAW JOINT
21241,DELETED CODE
21242,RECONSTRUCTION OF JAW JOINT
21243,RECONSTRUCTION OF JAW JOINT
21244,RECONSTRUCTION OF LOWER JAW
21245,RECONSTRUCTION OF JAW
21246,RECONSTRUCTION OF JAW
21247,RECONSTRUCT LOWER JAW BONE
21248,RECONSTRUCTION OF JAW
21249,RECONSTRUCTION OF JAW
21250,DELETED CODE
21254,DELETED CODE
21255,RECONSTRUCT LOWER JAW BONE
21256,RECONSTRUCTION OF ORBIT
21260,REVISE EYE SOCKETS
21261,REVISE EYE SOCKETS
21263,REVISE EYE SOCKETS
21267,REVISE EYE SOCKETS
21268,REVISE EYE SOCKETS
21270,AUGMENTATION CHEEK BONE
21275,REVISION ORBITOFACIAL BONES
21280,REVISION OF EYELID
21282,REVISION OF EYELID
21295,REVISION OF JAW MUSCLE/BONE
21296,REVISION OF JAW MUSCLE/BONE
21299,CRANIO/MAXILLOFACIAL SURGERY
21300,TREATMENT OF SKULL FRACTURE
21310,CLOSED TX NOSE FX W/O MANJ
21315,CLOSED TX NOSE FX W/O STABLJ
21320,CLOSED TX NOSE FX W/ STABLJ
21325,OPEN TX NOSE FX UNCOMPLICATD
21330,OPEN TX NOSE FX W/SKELE FIXJ
21335,OPEN TX NOSE & SEPTAL FX
21336,OPEN TX SEPTAL FX W/WO STABJ
21337,CLOSED TX SEPTAL&NOSE FX
21338,OPEN NASOETHMOID FX W/O FIXJ
21339,OPEN NASOETHMOID FX W/ FIXJ
21340,PERQ TX NASOETHMOID FX
21343,OPEN TX DPRSD FRONT SINUS FX
21344,OPEN TX COMPL FRONT SINUS FX
21345,CLOSED TX NOSE/JAW FX
21346,OPN TX NASOMAX FX W/FIXJ
21347,OPN TX NASOMAX FX MULTPLE
21348,OPN TX NASOMAX FX W/GRAFT
21350,DELETED CODE
21355,PERQ TX MALAR FRACTURE
21356,OPN TX DPRSD ZYGOMATIC ARCH
21360,OPN TX DPRSD MALAR FRACTURE
21365,OPN TX COMPLX MALAR FX
21366,OPN TX COMPLX MALAR W/GRFT
21380,DELETED CODE
21385,OPN TX ORBIT FX TRANSANTRAL
21386,OPN TX ORBIT FX PERIORBITAL
21387,OPN TX ORBIT FX COMBINED
21390,OPN TX ORBIT PERIORBTL IMPLT
21395,OPN TX ORBIT PERIORBT W/GRFT
21400,CLOSED TX ORBIT W/O MANIPULJ
21401,CLOSED TX ORBIT W/MANIPULJ
21406,OPN TX ORBIT FX W/O IMPLANT
21407,OPN TX ORBIT FX W/IMPLANT
21408,OPN TX ORBIT FX W/BONE GRFT
21420,DELETED CODE
21421,TREAT MOUTH ROOF FRACTURE
21422,TREAT MOUTH ROOF FRACTURE
21423,TREAT MOUTH ROOF FRACTURE
21431,TREAT CRANIOFACIAL FRACTURE
21432,TREAT CRANIOFACIAL FRACTURE
21433,TREAT CRANIOFACIAL FRACTURE
21435,TREAT CRANIOFACIAL FRACTURE
21436,TREAT CRANIOFACIAL FRACTURE
21440,TREAT DENTAL RIDGE FRACTURE
21445,TREAT DENTAL RIDGE FRACTURE
21450,TREAT LOWER JAW FRACTURE
21451,TREAT LOWER JAW FRACTURE
21452,TREAT LOWER JAW FRACTURE
21453,TREAT LOWER JAW FRACTURE
21454,TREAT LOWER JAW FRACTURE
21455,DELETED CODE
21461,TREAT LOWER JAW FRACTURE
21462,TREAT LOWER JAW FRACTURE
21465,TREAT LOWER JAW FRACTURE
21470,TREAT LOWER JAW FRACTURE
21480,RESET DISLOCATED JAW
21485,RESET DISLOCATED JAW
21490,REPAIR DISLOCATED JAW
21493,TREAT HYOID BONE FRACTURE
21494,TREAT HYOID BONE FRACTURE
21495,TREAT HYOID BONE FRACTURE
21497,INTERDENTAL WIRING
21499,HEAD SURGERY PROCEDURE
21501,DRAIN NECK/CHEST LESION
21502,DRAIN CHEST LESION
21510,DRAINAGE OF BONE LESION
21511,DELETED CODE
21550,BIOPSY OF NECK/CHEST
21555,EXC NECK LES SC < 3 CM
21556,EXC NECK TUM DEEP < 5 CM
21557,RESECT NECK THORAX TUMOR<5CM
21600,PARTIAL REMOVAL OF RIB
21610,PARTIAL REMOVAL OF RIB
21615,REMOVAL OF RIB
3022F,LVEF >/=40% SYSTOLIC
3023F,SPIROM DOC REV
3025F,SPIROM FEV/FVC <70% W/COPD
3027F,SPIROM FEV/FVC>/=70%/W/OCOPD
3028F,O2 SATURATION DOC REV
30300,REMOVE NASAL FOREIGN BODY
30310,REMOVE NASAL FOREIGN BODY
30320,REMOVE NASAL FOREIGN BODY
3035F,O2 SATURATION</=88%/PAO</=55
3037F,O2 SATURATION >88%/PAO>55 HG
30400,RECONSTRUCTION OF NOSE
3040F,FEV <40% PREDICTED VALUE
30410,RECONSTRUCTION OF NOSE
30420,RECONSTRUCTION OF NOSE
3042F,FEV >/=40% PREDICTED VALUE
30430,REVISION OF NOSE
30435,REVISION OF NOSE
3044F,HG A1C LEVEL LT 7.0%
30450,REVISION OF NOSE
3045F,HG A1C LEVEL 7.0-9.0%
30460,REVISION OF NOSE
30462,REVISION OF NOSE
30465,REPAIR NASAL STENOSIS
3046F,HEMOGLOBIN A1C LEVEL >9.0%
3047F,HEMOGLOBIN A1C LEVEL = 9.0%
3048F,LDL-C <100 MG/DL
3049F,LDL-C 100-129 MG/DL
30500,DELETED CODE
3050F,LDL-C >/= 130 MG/DL
30520,REPAIR OF NASAL SEPTUM
30540,REPAIR NASAL DEFECT
30545,REPAIR NASAL DEFECT
30560,RELEASE OF NASAL ADHESIONS
30580,REPAIR UPPER JAW FISTULA
30600,REPAIR MOUTH/NOSE FISTULA
3060F,POS MICROALBUMINURIA REV
3061F,NEG MICROALBUMINURIA REV
30620,INTRANASAL RECONSTRUCTION
3062F,POS MACROALBUMINURIA REV
30630,REPAIR NASAL SEPTUM DEFECT
3066F,NEPHROPATHY DOC TX
3072F,LOW RISK FOR RETINOPATHY
3073F,PRE-SURG EYE MEASURES DOCD
3074F,SYST BP LT 130 MM HG
3075F,SYST BP GE 130 - 139MM HG
3076F,SYST BP < 140 MM HG
31571,LARYNGOSCOP W/VC INJ + SCOPE
31575,DIAGNOSTIC LARYNGOSCOPY
31576,LARYNGOSCOPY WITH BIOPSY
31577,LARGSC W/RMVL FOREIGN BDY(S)
31578,LARGSC W/REMOVAL LESION
31579,LARYNGOSCOPY TELESCOPIC
31580,LARYNGOPLASTY LARYNGEAL WEB
31582,REVISION OF LARYNX
31584,LARYNGOPLASTY FX RDCTJ FIXJ
31585,TREAT LARYNX FRACTURE
31586,TREAT LARYNX FRACTURE
31587,LARYNGOPLASTY CRICOID SPLIT
31588,REVISION OF LARYNX
31590,REINNERVATE LARYNX
31595,LARYNX NERVE SURGERY
31599,LARYNX SURGERY PROCEDURE
31600,INCISION OF WINDPIPE
31601,INCISION OF WINDPIPE
31603,INCISION OF WINDPIPE
31605,INCISION OF WINDPIPE
3160F,DOC FE+ STORES B/4 EPO THX
31610,INCISION OF WINDPIPE
31611,SURGERY/SPEECH PROSTHESIS
31612,PUNCTURE/CLEAR WINDPIPE
G9728,REFUSED TO PARTICIPATE
3077F,SYST BP >/= 140 MM HG
3078F,DIAST BP <80 MM HG
3079F,DIAST BP 80-89 MM HG
30800,DELETED CODE
30801,ABLATE INF TURBINATE SUPERF
30802,ABLATE INF TURBINATE SUBMUC
30805,DELETED CODE
3080F,DIAST BP >/= 90 MM HG
30820,DELETED CODE
3082F,KT/V <1.2
3083F,KT/V =/> 1.2 & <1.7
3084F,KT/V >/= 1.7
3085F,SUICIDE RISK ASSESSED
3088F,MDD MILD
3089F,MDD MODERATE
30900,DELETED CODE
30901,CONTROL OF NOSEBLEED
30902,DELETED CODE
30903,CONTROL OF NOSEBLEED
30904,DELETED CODE
30905,CONTROL OF NOSEBLEED
30906,REPEAT CONTROL OF NOSEBLEED
3090F,MDD SEVERE W/O PSYCH
30915,LIGATION NASAL SINUS ARTERY
3091F,MDD SEVERE W/PSYCH
30920,LIGATION UPPER JAW ARTERY
3092F,MDD IN REMISSION
30930,THER FX NASAL INF TURBINATE
3093F,DOC NEW DIAG 1ST/ADDL MDD
3095F,CENTRAL DEXA RESULTS DOCD
3096F,CENTRAL DEXA ORDERED
30999,NASAL SURGERY PROCEDURE
31000,IRRIGATION MAXILLARY SINUS
31001,DELETED CODE
31002,IRRIGATION SPHENOID SINUS
3100F,IMAGE TEST REF CAROT DIAM
3101F,INTL CAROT BLK 30¿99% RANGE
31020,EXPLORATION MAXILLARY SINUS
31021,DELETED CODE
3102F,INT CAROT BLK < 30%
31030,EXPLORATION MAXILLARY SINUS
31031,DELETED CODE
31032,EXPLORE SINUS REMOVE POLYPS
31033,DELETED CODE
31040,EXPLORATION BEHIND UPPER JAW
31050,EXPLORATION SPHENOID SINUS
31051,SPHENOID SINUS SURGERY
31070,EXPLORATION OF FRONTAL SINUS
31071,DELETED CODE
31075,EXPLORATION OF FRONTAL SINUS
31080,REMOVAL OF FRONTAL SINUS
31081,REMOVAL OF FRONTAL SINUS
31084,REMOVAL OF FRONTAL SINUS
31085,REMOVAL OF FRONTAL SINUS
31086,REMOVAL OF FRONTAL SINUS
31087,REMOVAL OF FRONTAL SINUS
31090,EXPLORATION OF SINUSES
3110F,PRES/ABSN HMRHG/LESION DOCD
3111F,CT/MRI BRAIN DONE W/IN 24HRS
3112F,CT/MRI BRAIN DONE 24 HRS
31200,REMOVAL OF ETHMOID SINUS
31201,REMOVAL OF ETHMOID SINUS
31205,REMOVAL OF ETHMOID SINUS
3120F,12-LEAD ECG PERFORMED
31225,REMOVAL OF UPPER JAW
31230,REMOVAL OF UPPER JAW
31231,NASAL ENDOSCOPY DX
31233,NASAL/SINUS ENDOSCOPY DX
31235,NASAL/SINUS ENDOSCOPY DX
31237,NASAL/SINUS ENDOSCOPY SURG
31238,NASAL/SINUS ENDOSCOPY SURG
31239,NASAL/SINUS ENDOSCOPY SURG
31240,NASAL/SINUS ENDOSCOPY SURG
31245,DELETED CODE
31246,DELETED CODE
31247,DELETED CODE
31248,DELETED CODE
31249,DELETED CODE
31250,DELETED CODE
31251,DELETED CODE
31252,DELETED CODE
31254,NSL/SINS NDSC W/PRTL ETHMDCT
31255,NSL/SINS NDSC W/TOT ETHMDCT
31256,EXPLORATION MAXILLARY SINUS
31258,DELETED CODE
31260,DELETED CODE
31261,DELETED CODE
31262,DELETED CODE
31263,DELETED CODE
31264,DELETED CODE
31265,DELETED CODE
31266,DELETED CODE
31267,ENDOSCOPY MAXILLARY SINUS
31268,DELETED CODE
31269,DELETED CODE
31270,DELETED CODE
31271,DELETED CODE
31275,DELETED CODE
31276,NSL/SINS NDSC FRNT TISS RMVL
31277,DELETED CODE
31280,DELETED CODE
31281,DELETED CODE
31282,DELETED CODE
31283,DELETED CODE
31284,DELETED CODE
31285,DELETED CODE
31286,DELETED CODE
31287,NASAL/SINUS ENDOSCOPY SURG
31288,NASAL/SINUS ENDOSCOPY SURG
31290,NASAL/SINUS ENDOSCOPY SURG
31291,NASAL/SINUS ENDOSCOPY SURG
31292,NASAL/SINUS ENDOSCOPY SURG
31293,NASAL/SINUS ENDOSCOPY SURG
31294,NASAL/SINUS ENDOSCOPY SURG
31299,SINUS SURGERY PROCEDURE
31300,REMOVAL OF LARYNX LESION
3130F,UPPER GI ENDOSCOPY PERFORMED
31320,DIAGNOSTIC INCISION LARYNX
3132F,DOC REF UPPER GI ENDOSCOPY
31360,REMOVAL OF LARYNX
31365,REMOVAL OF LARYNX
31367,PARTIAL REMOVAL OF LARYNX
31368,PARTIAL REMOVAL OF LARYNX
31370,PARTIAL REMOVAL OF LARYNX
31375,PARTIAL REMOVAL OF LARYNX
31380,PARTIAL REMOVAL OF LARYNX
31382,PARTIAL REMOVAL OF LARYNX
31390,REMOVAL OF LARYNX & PHARYNX
31395,RECONSTRUCT LARYNX & PHARYNX
31400,REVISION OF LARYNX
3140F,UPPER GI ENDO SHOWS BARRTTS
3141F,UPPER GI ENDO NOT BARRTTS
31420,REMOVAL OF EPIGLOTTIS
3142F,BARIUM SWALLOW TEST ORDERED
3143F,DOC ORDER BARIUM SWALLOW TST
31500,INSERT EMERGENCY AIRWAY
31502,CHANGE OF WINDPIPE AIRWAY
31505,DIAGNOSTIC LARYNGOSCOPY
3150F,FORCEPS ESOPH BIOPSY DONE
31510,LARYNGOSCOPY WITH BIOPSY
31511,REMOVE FOREIGN BODY LARYNX
31512,REMOVAL OF LARYNX LESION
31513,INJECTION INTO VOCAL CORD
31515,LARYNGOSCOPY FOR ASPIRATION
31520,DX LARYNGOSCOPY NEWBORN
31525,DX LARYNGOSCOPY EXCL NB
31526,DX LARYNGOSCOPY W/OPER SCOPE
31527,LARYNGOSCOPY FOR TREATMENT
31528,LARYNGOSCOPY AND DILATION
31529,LARYNGOSCOPY AND DILATION
31530,LARYNGOSCOPY W/FB REMOVAL
31531,LARYNGOSCOPY W/FB & OP SCOPE
31535,LARYNGOSCOPY W/BIOPSY
31536,LARYNGOSCOPY W/BX & OP SCOPE
31540,LARYNGOSCOPY W/EXC OF TUMOR
31541,LARYNSCOP W/TUMR EXC + SCOPE
31545,REMOVE VC LESION W/SCOPE
31546,REMOVE VC LESION SCOPE/GRAFT
3155F,CYTOGEN TEST MARROW B/4 TX
31560,LARYNGOSCOP W/ARYTENOIDECTOM
31561,LARYNSCOP REMVE CART + SCOP
31570,LARYNGOSCOPE W/VC INJ
29860,HIP ARTHROSCOPY DX
29861,HIP ARTHRO W/FB REMOVAL
29862,HIP ARTHR0 W/DEBRIDEMENT
29863,HIP ARTHR0 W/SYNOVECTOMY
29866,AUTGRFT IMPLNT KNEE W/SCOPE
29867,ALLGRFT IMPLNT KNEE W/SCOPE
29868,MENISCAL TRNSPL KNEE W/SCPE
29870,KNEE ARTHROSCOPY DX
29871,KNEE ARTHROSCOPY/DRAINAGE
29872,DELETED CODE
29873,KNEE ARTHROSCOPY/SURGERY
29874,KNEE ARTHROSCOPY/SURGERY
29875,KNEE ARTHROSCOPY/SURGERY
29876,KNEE ARTHROSCOPY/SURGERY
29877,KNEE ARTHROSCOPY/SURGERY
29879,KNEE ARTHROSCOPY/SURGERY
29880,KNEE ARTHROSCOPY/SURGERY
29881,KNEE ARTHROSCOPY/SURGERY
29882,KNEE ARTHROSCOPY/SURGERY
29883,KNEE ARTHROSCOPY/SURGERY
29884,KNEE ARTHROSCOPY/SURGERY
29885,KNEE ARTHROSCOPY/SURGERY
29886,KNEE ARTHROSCOPY/SURGERY
29887,KNEE ARTHROSCOPY/SURGERY
29888,KNEE ARTHROSCOPY/SURGERY
29889,KNEE ARTHROSCOPY/SURGERY
29890,DELETED CODE
29891,ANKLE ARTHROSCOPY/SURGERY
29892,ANKLE ARTHROSCOPY/SURGERY
29893,SCOPE PLANTAR FASCIOTOMY
29894,ANKLE ARTHROSCOPY/SURGERY
29895,ANKLE ARTHROSCOPY/SURGERY
29896,DELETED CODE
29897,ANKLE ARTHROSCOPY/SURGERY
29898,ANKLE ARTHROSCOPY/SURGERY
29899,ANKLE ARTHROSCOPY/SURGERY
29900,MCP JOINT ARTHROSCOPY DX
29901,MCP JOINT ARTHROSCOPY SURG
29902,MCP JOINT ARTHROSCOPY SURG
29909,ARTHROSCOPY OF JOINT
29999,ARTHROSCOPY OF JOINT
30000,DRAINAGE OF NOSE LESION
3000F,BLOOD PRESS </= 140/90 MMHG
30020,DRAINAGE OF NOSE LESION
3002F,BLOOD PRESSURE > 140/90 MMHG
3006F,CXR DOC REV
30100,INTRANASAL BIOPSY
30110,REMOVAL OF NOSE POLYP(S)
30111,DELETED CODE
30115,REMOVAL OF NOSE POLYP(S)
30116,DELETED CODE
30117,REMOVAL OF INTRANASAL LESION
30118,REMOVAL OF INTRANASAL LESION
3011F,LIPID PANEL DOC REV
30120,REVISION OF NOSE
30124,REMOVAL OF NOSE LESION
30125,REMOVAL OF NOSE LESION
30130,EXCISE INFERIOR TURBINATE
30140,RESECT INFERIOR TURBINATE
3014F,SCREEN MAMMO DOC REV
30150,PARTIAL REMOVAL OF NOSE
30160,REMOVAL OF NOSE
3017F,COLORECTAL CA SCREEN DOC REV
30200,INJECTION TREATMENT OF NOSE
3020F,LVF ASSESS
30210,NASAL SINUS THERAPY
3021F,LVEF MOD/SEVER DEPRS SYST
30220,INSERT NASAL SEPTAL BUTTON
35490,"ATHERECTOMY, PERCUTANEOUS"
35491,"ATHERECTOMY, PERCUTANEOUS"
35492,"ATHERECTOMY, PERCUTANEOUS"
35493,"ATHERECTOMY, PERCUTANEOUS"
35494,"ATHERECTOMY, PERCUTANEOUS"
35495,"ATHERECTOMY, PERCUTANEOUS"
35500,HARVEST VEIN FOR BYPASS
35501,ART BYP GRFT IPSILAT CAROTID
35506,ART BYP GRFT SUBCLAV-CAROTID
35507,ARTERY BYPASS GRAFT
35508,ART BYP GRFT CAROTID-VERTBRL
35509,ART BYP GRFT CONTRAL CAROTID
35510,ART BYP GRFT CAROTID-BRCHIAL
35511,ART BYP GRFT SUBCLAV-SUBCLAV
35512,ART BYP GRFT SUBCLAV-BRCHIAL
35515,ART BYP GRFT SUBCLAV-VERTBRL
35516,ART BYP GRFT SUBCLAV-AXILARY
35518,ART BYP GRFT AXILLARY-AXILRY
35521,ART BYP GRFT AXILL-FEMORAL
35522,ART BYP GRFT AXILL-BRACHIAL
35525,ART BYP GRFT BRACHIAL-BRCHL
35526,ART BYP GRFT AOR/CAROT/INNOM
35531,ART BYP GRFT AORCEL/AORMESEN
35533,ART BYP GRFT AXILL/FEM/FEM
35536,ART BYP GRFT SPLENORENAL
35537,ART BYP GRFT AORTOILIAC
35538,ART BYP GRFT AORTOBI-ILIAC
35539,ART BYP GRFT AORTOFEMORAL
35540,ART BYP GRFT AORTBIFEMORAL
35541,ARTERY BYPASS GRAFT
35546,ARTERY BYPASS GRAFT
35548,ARTERY BYPASS GRAFT
35549,ARTERY BYPASS GRAFT
35551,ARTERY BYPASS GRAFT
35556,ART BYP GRFT FEM-POPLITEAL
35558,ART BYP GRFT FEM-FEMORAL
35560,ART BYP GRFT AORTORENAL
35563,ART BYP GRFT ILIOILIAC
35565,ART BYP GRFT ILIOFEMORAL
35566,ART BYP FEM-ANT-POST TIB/PRL
35571,ART BYP POP-TIBL-PRL-OTHER
35572,HARVEST FEMOROPOPLITEAL VEIN
35582,VEIN BYPASS GRAFT
35583,VEIN BYP GRFT FEM-POPLITEAL
35585,VEIN BYP FEM-TIBIAL PERONEAL
35587,VEIN BYP POP-TIBL PERONEAL
35600,HARVEST ART FOR CABG ADD-ON
35601,ART BYP COMMON IPSI CAROTID
35606,ART BYP CAROTID-SUBCLAVIAN
35612,ART BYP SUBCLAV-SUBCLAVIAN
35616,ART BYP SUBCLAV-AXILLARY
35621,ART BYP AXILLARY-FEMORAL
35623,ART BYP AXILLARY-POP-TIBIAL
35626,ART BYP AORSUBCL/CAROT/INNOM
35631,ART BYP AOR-CELIAC-MSN-RENAL
35636,ART BYP SPENORENAL
35637,ART BYP AORTOILIAC
35638,ART BYP AORTOBI-ILIAC
35641,ARTERY BYPASS GRAFT
35642,ART BYP CAROTID-VERTEBRAL
35645,ART BYP SUBCLAV-VERTEBRL
35646,ART BYP AORTOBIFEMORAL
35647,ART BYP AORTOFEMORAL
35650,ART BYP AXILLARY-AXILLARY
35651,ARTERY BYPASS GRAFT
35654,ART BYP AXILL-FEM-FEMORAL
35656,ART BYP FEMORAL-POPLITEAL
35661,ART BYP FEMORAL-FEMORAL
35663,ART BYP ILIOILIAC
35665,ART BYP ILIOFEMORAL
35666,ART BYP FEM-ANT-POST TIB/PRL
35671,ART BYP POP-TIBL-PRL-OTHER
35681,COMPOSITE BYP GRFT PROS&VEIN
35682,COMPOSITE BYP GRFT 2 VEINS
